paper_idx,arxiv_id,year,total_citations,num_references,paper_age,citations_per_year
5192,708.4137,2007,26,76,18,1.368421052631579
2669,706.2337,2007,26,61,18,1.368421052631579
8259,711.2122,2007,26,49,18,1.368421052631579
7913,711.0673,2007,26,5,18,1.368421052631579
2638,706.2189,2007,26,34,18,1.368421052631579
2738,706.2622,2007,26,43,18,1.368421052631579
81,704.0356,2007,26,25,18,1.368421052631579
2875,706.3196,2007,26,68,18,1.368421052631579
5167,708.4015,2007,26,40,18,1.368421052631579
8254,711.2105,2007,26,22,18,1.368421052631579
1621,705.2582,2007,26,143,18,1.368421052631579
7373,710.4137,2007,26,38,18,1.368421052631579
7557,710.5093,2007,26,54,18,1.368421052631579
1432,705.1796,2007,26,62,18,1.368421052631579
7410,710.4296,2007,26,17,18,1.368421052631579
661,704.2593,2007,26,42,18,1.368421052631579
5298,709.0181,2007,26,54,18,1.368421052631579
9936,712.3982,2007,26,27,18,1.368421052631579
9815,712.3408,2007,26,11,18,1.368421052631579
9786,712.3269,2007,26,83,18,1.368421052631579
5278,709.0091,2007,26,36,18,1.368421052631579
4823,708.253,2007,26,33,18,1.368421052631579
3054,706.3943,2007,26,40,18,1.368421052631579
2685,706.2382,2007,26,31,18,1.368421052631579
2734,706.2614,2007,26,40,18,1.368421052631579
44,704.0242,2007,26,140,18,1.368421052631579
9154,712.0828,2007,26,94,18,1.368421052631579
2297,706.0849,2007,26,17,18,1.368421052631579
2646,706.2221,2007,26,36,18,1.368421052631579
7301,710.3803,2007,26,28,18,1.368421052631579
8073,711.1375,2007,26,41,18,1.368421052631579
5086,708.3673,2007,26,37,18,1.368421052631579
8107,711.1526,2007,26,50,18,1.368421052631579
9111,712.0683,2007,26,27,18,1.368421052631579
7262,710.3649,2007,26,28,18,1.368421052631579
9727,712.3028,2007,26,22,18,1.368421052631579
326,704.1289,2007,26,31,18,1.368421052631579
292,704.1162,2007,26,25,18,1.368421052631579
9744,712.3099,2007,26,94,18,1.368421052631579
2468,706.1534,2007,26,44,18,1.368421052631579
5232,708.43,2007,26,39,18,1.368421052631579
2832,706.303,2007,26,49,18,1.368421052631579
7285,710.3748,2007,26,41,18,1.368421052631579
4781,708.2357,2007,26,64,18,1.368421052631579
8120,711.157,2007,26,94,18,1.368421052631579
8402,711.2595,2007,26,78,18,1.368421052631579
8096,711.1454,2007,26,54,18,1.368421052631579
1549,705.2283,2007,26,29,18,1.368421052631579
7210,710.3415,2007,26,13,18,1.368421052631579
7695,710.5637,2007,25,7,18,1.3157894736842106
6158,709.3614,2007,25,23,18,1.3157894736842106
9465,712.1977,2007,25,28,18,1.3157894736842106
162,704.0721,2007,25,40,18,1.3157894736842106
7656,710.5514,2007,25,65,18,1.3157894736842106
8828,711.4583,2007,25,15,18,1.3157894736842106
5630,709.1406,2007,25,26,18,1.3157894736842106
3926,707.3318,2007,25,24,18,1.3157894736842106
3820,707.2826,2007,25,52,18,1.3157894736842106
553,704.2166,2007,25,26,18,1.3157894736842106
9277,712.1297,2007,25,23,18,1.3157894736842106
9485,712.2061,2007,25,42,18,1.3157894736842106
9490,712.2103,2007,25,32,18,1.3157894736842106
6271,709.4006,2007,25,6,18,1.3157894736842106
6112,709.3394,2007,25,50,18,1.3157894736842106
9110,712.068,2007,25,17,18,1.3157894736842106
9514,712.2196,2007,25,24,18,1.3157894736842106
3796,707.2764,2007,25,21,18,1.3157894736842106
3837,707.2904,2007,25,44,18,1.3157894736842106
1200,705.0791,2007,25,28,18,1.3157894736842106
4941,708.2977,2007,25,72,18,1.3157894736842106
7807,711.0242,2007,25,25,18,1.3157894736842106
5675,709.1601,2007,25,29,18,1.3157894736842106
1782,705.3242,2007,25,29,18,1.3157894736842106
9362,712.1575,2007,25,58,18,1.3157894736842106
2521,706.1715,2007,25,8,18,1.3157894736842106
2564,706.1899,2007,25,6,18,1.3157894736842106
5747,709.1921,2007,25,20,18,1.3157894736842106
8752,711.4289,2007,25,23,18,1.3157894736842106
2575,706.1944,2007,25,55,18,1.3157894736842106
9376,712.1619,2007,25,52,18,1.3157894736842106
5119,708.382,2007,25,59,18,1.3157894736842106
220,704.0932,2007,25,89,18,1.3157894736842106
1735,705.3063,2007,25,53,18,1.3157894736842106
1314,705.1331,2007,25,69,18,1.3157894736842106
2653,706.2255,2007,25,29,18,1.3157894736842106
9043,712.0427,2007,25,40,18,1.3157894736842106
4134,707.4327,2007,25,34,18,1.3157894736842106
2442,706.1357,2007,25,26,18,1.3157894736842106
6051,709.3139,2007,25,28,18,1.3157894736842106
6054,709.3162,2007,25,35,18,1.3157894736842106
8715,711.4129,2007,25,48,18,1.3157894736842106
5695,709.1673,2007,25,22,18,1.3157894736842106
4100,707.4155,2007,25,26,18,1.3157894736842106
9868,712.3632,2007,25,49,18,1.3157894736842106
6089,709.3301,2007,25,37,18,1.3157894736842106
414,704.1612,2007,25,27,18,1.3157894736842106
2671,706.2342,2007,25,22,18,1.3157894736842106
699,704.272,2007,25,16,18,1.3157894736842106
2696,706.2444,2007,25,86,18,1.3157894736842106
1879,705.3649,2007,25,36,18,1.3157894736842106
4434,708.0874,2007,25,49,18,1.3157894736842106
6281,709.4047,2007,25,28,18,1.3157894736842106
335,704.1306,2007,25,17,18,1.3157894736842106
6317,709.4236,2007,25,40,18,1.3157894736842106
8361,711.2461,2007,25,35,18,1.3157894736842106
9157,712.0842,2007,25,68,18,1.3157894736842106
2253,706.0649,2007,25,49,18,1.3157894736842106
9615,712.2593,2007,25,42,18,1.3157894736842106
1371,705.1572,2007,25,14,18,1.3157894736842106
114,704.0488,2007,25,50,18,1.3157894736842106
1373,705.158,2007,25,64,18,1.3157894736842106
3451,707.125,2007,25,29,18,1.3157894736842106
812,704.315,2007,25,33,18,1.3157894736842106
4796,708.2402,2007,25,44,18,1.3157894736842106
7365,710.4123,2007,25,24,18,1.3157894736842106
