paper_idx,year,age,citations,refs,cpy,early_est,late_est,beauty_ratio
297,2007,18,75,64,3.9473684210526314,11.842105263157894,59.21052631578947,5.0
298,2007,18,115,28,6.052631578947368,18.157894736842103,90.78947368421052,5.0
299,2007,18,65,31,3.4210526315789473,10.263157894736842,51.31578947368421,5.0
304,2007,18,60,46,3.1578947368421053,9.473684210526315,47.36842105263158,5.000000000000001
306,2007,18,98,134,5.157894736842105,15.473684210526315,77.36842105263158,5.0
307,2007,18,39,36,2.0526315789473686,6.157894736842106,30.789473684210527,4.999999999999999
309,2007,18,31,30,1.631578947368421,4.894736842105263,24.473684210526315,5.0
312,2007,18,24,49,1.263157894736842,3.789473684210526,18.94736842105263,5.0
313,2007,18,166,126,8.736842105263158,26.210526315789473,131.05263157894737,5.0
314,2007,18,77,74,4.052631578947368,12.157894736842104,60.78947368421052,5.0
315,2007,18,33,34,1.736842105263158,5.210526315789474,26.05263157894737,5.0
316,2007,18,46,18,2.4210526315789473,7.2631578947368425,36.31578947368421,5.0
319,2007,18,204,65,10.736842105263158,32.21052631578947,161.05263157894737,5.0
321,2007,18,208,20,10.947368421052632,32.8421052631579,164.21052631578948,5.0
322,2007,18,53,43,2.789473684210526,8.368421052631579,41.84210526315789,5.0
324,2007,18,51,85,2.6842105263157894,8.052631578947368,40.26315789473684,5.0
326,2007,18,26,31,1.368421052631579,4.105263157894737,20.526315789473685,5.0
328,2007,18,20,76,1.0526315789473684,3.1578947368421053,15.789473684210526,5.0
335,2007,18,25,17,1.3157894736842106,3.947368421052632,19.736842105263158,4.999999999999999
338,2007,18,393,97,20.68421052631579,62.05263157894737,310.2631578947369,5.000000000000001
341,2007,18,94,71,4.947368421052632,14.842105263157896,74.21052631578948,5.0
343,2007,18,91,73,4.7894736842105265,14.368421052631579,71.8421052631579,5.000000000000001
350,2007,18,110,15,5.7894736842105265,17.36842105263158,86.8421052631579,5.000000000000001
352,2007,18,405,105,21.31578947368421,63.94736842105263,319.7368421052631,4.999999999999999
354,2007,18,49,30,2.5789473684210527,7.7368421052631575,38.68421052631579,5.0
355,2007,18,59,110,3.1052631578947367,9.31578947368421,46.57894736842105,4.999999999999999
356,2007,18,68,43,3.5789473684210527,10.736842105263158,53.68421052631579,5.0
357,2007,18,85,44,4.473684210526316,13.421052631578949,67.10526315789474,5.0
358,2007,18,42,26,2.210526315789474,6.631578947368421,33.15789473684211,5.000000000000001
360,2007,18,24,49,1.263157894736842,3.789473684210526,18.94736842105263,5.0
363,2007,18,89,61,4.684210526315789,14.052631578947368,70.26315789473684,5.0
364,2007,18,20,19,1.0526315789473684,3.1578947368421053,15.789473684210526,5.0
365,2007,18,26,16,1.368421052631579,4.105263157894737,20.526315789473685,5.0
367,2007,18,63,47,3.3157894736842106,9.947368421052632,49.73684210526316,5.0
371,2007,18,44,34,2.3157894736842106,6.947368421052632,34.73684210526316,5.0
373,2007,18,78,35,4.105263157894737,12.315789473684212,61.578947368421055,4.999999999999999
376,2007,18,31,28,1.631578947368421,4.894736842105263,24.473684210526315,5.0
377,2007,18,39,97,2.0526315789473686,6.157894736842106,30.789473684210527,4.999999999999999
378,2007,18,24,30,1.263157894736842,3.789473684210526,18.94736842105263,5.0
